Index,Original Name,New Name
1,Subject,Subject
2,Activity,Activity
3,tBodyAcc-mean()-X,AccBody-X-Mean
4,tBodyAcc-mean()-Y,AccBody-Y-Mean
5,tBodyAcc-mean()-Z,AccBody-Z-Mean
6,tBodyAcc-std()-X,AccBody-X-Std
7,tBodyAcc-std()-Y,AccBody-Y-Std
8,tBodyAcc-std()-Z,AccBody-Z-Std
9,tGravityAcc-mean()-X,AccGravity-X-Mean
10,tGravityAcc-mean()-Y,AccGravity-Y-Mean
11,tGravityAcc-mean()-Z,AccGravity-Z-Mean
12,tGravityAcc-std()-X,AccGravity-X-Std
13,tGravityAcc-std()-Y,AccGravity-Y-Std
14,tGravityAcc-std()-Z,AccGravity-Z-Std
15,tBodyAccJerk-mean()-X,AccBodyJerk-X-Mean
16,tBodyAccJerk-mean()-Y,AccBodyJerk-Y-Mean
17,tBodyAccJerk-mean()-Z,AccBodyJerk-Z-Mean
18,tBodyAccJerk-std()-X,AccBodyJerk-X-Std
19,tBodyAccJerk-std()-Y,AccBodyJerk-Y-Std
20,tBodyAccJerk-std()-Z,AccBodyJerk-Z-Std
21,tBodyGyro-mean()-X,GyroBody-X-Mean
22,tBodyGyro-mean()-Y,GyroBody-Y-Mean
23,tBodyGyro-mean()-Z,GyroBody-Z-Mean
24,tBodyGyro-std()-X,GyroBody-X-Std
25,tBodyGyro-std()-Y,GyroBody-Y-Std
26,tBodyGyro-std()-Z,GyroBody-Z-Std
27,tBodyGyroJerk-mean()-X,GyroBodyJerk-X-Mean
28,tBodyGyroJerk-mean()-Y,GyroBodyJerk-Y-Mean
29,tBodyGyroJerk-mean()-Z,GyroBodyJerk-Z-Mean
30,tBodyGyroJerk-std()-X,GyroBodyJerk-X-Std
31,tBodyGyroJerk-std()-Y,GyroBodyJerk-Y-Std
32,tBodyGyroJerk-std()-Z,GyroBodyJerk-Z-Std
33,tBodyAccMag-mean(),AccBodyMag-Mean
34,tBodyAccMag-std(),AccBodyMag-Std
35,tGravityAccMag-mean(),AccGravityMag-Mean
36,tGravityAccMag-std(),AccGravityMag-Std
37,tBodyAccJerkMag-mean(),AccBodyJerkMag-Mean
38,tBodyAccJerkMag-std(),AccBodyJerkMag-Std
39,tBodyGyroMag-mean(),GyroBodyMag-Mean
40,tBodyGyroMag-std(),GyroBodyMag-Std
41,tBodyGyroJerkMag-mean(),GyroBodyJerkMag-Mean
42,tBodyGyroJerkMag-std(),GyroBodyJerkMag-Std
43,fBodyAcc-mean()-X,AccBody-FFT-X-Mean
44,fBodyAcc-mean()-Y,AccBody-FFT-Y-Mean
45,fBodyAcc-mean()-Z,AccBody-FFT-Z-Mean
46,fBodyAcc-std()-X,AccBody-FFT-X-Std
47,fBodyAcc-std()-Y,AccBody-FFT-Y-Std
48,fBodyAcc-std()-Z,AccBody-FFT-Z-Std
49,fBodyAcc-meanFreq()-X,AccBody-FFT-X-MeanFreq
50,fBodyAcc-meanFreq()-Y,AccBody-FFT-Y-MeanFreq
51,fBodyAcc-meanFreq()-Z,AccBody-FFT-Z-MeanFreq
52,fBodyAccJerk-mean()-X,AccBodyJerk-FFT-X-Mean
53,fBodyAccJerk-mean()-Y,AccBodyJerk-FFT-Y-Mean
54,fBodyAccJerk-mean()-Z,AccBodyJerk-FFT-Z-Mean
55,fBodyAccJerk-std()-X,AccBodyJerk-FFT-X-Std
56,fBodyAccJerk-std()-Y,AccBodyJerk-FFT-Y-Std
57,fBodyAccJerk-std()-Z,AccBodyJerk-FFT-Z-Std
58,fBodyAccJerk-meanFreq()-X,AccBodyJerk-FFT-X-MeanFreq
59,fBodyAccJerk-meanFreq()-Y,AccBodyJerk-FFT-Y-MeanFreq
60,fBodyAccJerk-meanFreq()-Z,AccBodyJerk-FFT-Z-MeanFreq
61,fBodyGyro-mean()-X,GyroBody-FFT-X-Mean
62,fBodyGyro-mean()-Y,GyroBody-FFT-Y-Mean
63,fBodyGyro-mean()-Z,GyroBody-FFT-Z-Mean
64,fBodyGyro-std()-X,GyroBody-FFT-X-Std
65,fBodyGyro-std()-Y,GyroBody-FFT-Y-Std
66,fBodyGyro-std()-Z,GyroBody-FFT-Z-Std
67,fBodyGyro-meanFreq()-X,GyroBody-FFT-X-MeanFreq
68,fBodyGyro-meanFreq()-Y,GyroBody-FFT-Y-MeanFreq
69,fBodyGyro-meanFreq()-Z,GyroBody-FFT-Z-MeanFreq
70,fBodyAccMag-mean(),AccBodyMag-FFT-Mean
71,fBodyAccMag-std(),AccBodyMag-FFT-Std
72,fBodyAccMag-meanFreq(),AccBodyMag-FFT-MeanFreq
73,fBodyBodyAccJerkMag-mean(),AccBodyJerkMag-FFT-Mean
74,fBodyBodyAccJerkMag-std(),AccBodyJerkMag-FFT-Std
75,fBodyBodyAccJerkMag-meanFreq(),AccBodyJerkMag-FFT-MeanFreq
76,fBodyBodyGyroMag-mean(),GyroBodyMag-FFT-Mean
77,fBodyBodyGyroMag-std(),GyroBodyMag-FFT-Std
78,fBodyBodyGyroMag-meanFreq(),GyroBodyMag-FFT-MeanFreq
79,fBodyBodyGyroJerkMag-mean(),GyroBodyJerkMag-FFT-Mean
80,fBodyBodyGyroJerkMag-std(),GyroBodyJerkMag-FFT-Std
81,fBodyBodyGyroJerkMag-meanFreq(),GyroBodyJerkMag-FFT-MeanFreq
